qr-tamarolema;it;https://www.montetamaro.ch/traversata-montetamaro-montelema/
qr-foppaneggia;it;https://www.montetamaro.ch/alpe-foppa-alpe-di-neggia/
qr-foppaarosio;it;https://www.montetamaro.ch/alpe-foppa-arosio/ 
qr-vettatamaro;it;https://www.montetamaro.ch/vetta-tamaro/
qr-girotamaro;it;https://www.montetamaro.ch/giro-monte-tamaro/
qr-sentieroculturale;it;https://www.montetamaro.ch/sentiero-culturale/
qr-sentieropanoramico;it;https://www.montetamaro.ch/sentiero-panoramico/ 
qr-sentieroduragno;it;https://www.montetamaro.ch/sentiero-alpe-duragno/ 
qr-fopparivera;it;https://www.montetamaro.chalpe-foppa-rivera-forestale/ 
qr-foppariveradiretto;it;https://www.montetamaro.ch/alpe-foppa-rivera-diretta/ 
qr-foppanagraintermedia;it;https://www.montetamaro.ch/alpe-foppa-piano-di-mora-nagra/
qr-foppanagrarivera;it;https://www.montetamaro.ch/alpe-foppa-rivera-nagra/
qr-foppaduragnointermedia;it;https://www.montetamaro.ch/alpe-foppa-duragno-piano-mora/ 
qr-foppaduragnorivera;it;https://www.montetamaro.ch/alpe-foppa-duragno-rivera/
qr-362;it;https://www.montetamaro.ch/mtb-nr-362/
qr-MTBriverafoppa;it;https://www.montetamaro.ch/rivera-alpe-foppa/
qr-MTBriverafoppa;de;https://www.montetamaro.ch/de/mountainbike/rivera-alpe-foppa/
